Sentence,Error Explanation
"I seen him at the park last week.","Incorrect verb form: 'seen' should be 'saw' in the past tense."
"She don't like to swim in cold water.","Subject-verb agreement error: 'don't' should be 'doesn't' to match the singular subject 'She'."
"He work as a chef in a famous restaurant.","Incorrect verb form: 'work' should be 'works' to match the singular subject 'He'."
"I could of finished the report earlier.","Incorrect use of 'of': should be 'have' as in 'could have'."
"They was hoping for good weather on their trip.","Subject-verb agreement error: 'was' should be 'were' to match the plural subject 'They'."
"Their going to the party together.","Incorrect use of 'their': should be 'They're' as a contraction of 'they are'."
"I seen that movie twice.","Incorrect verb form: 'seen' should be 'saw' in the past tense."
"He don't know what to do next.","Subject-verb agreement error: 'don't' should be 'doesn't' to match the singular subject 'He'."
"She don't understand why he's upset.","Subject-verb agreement error: 'don't' should be 'doesn't' to match the singular subject 'She'."
"The book was write by Charles Dickens.","Incorrect verb form: 'was write' should be 'was written'."
"They was excited about the news.","Subject-verb agreement error: 'was' should be 'were' to match the plural subject 'They'."
"I could of sworn I heard something outside.","Incorrect use of 'of': should be 'have' as in 'could have'."
"She always wear sunglasses when it's sunny.","Subject-verb agreement error: 'wear' should be 'wears' to match the singular subject 'She'."
"He don't know how to fix computers.","Subject-verb agreement error: 'don't' should be 'doesn't' to match the singular subject 'He'."
"Their going to the beach this afternoon.","Incorrect use of 'their': should be 'They're' as a contraction of 'they are'."
"I seen him at the store last week.","Incorrect verb form: 'seen' should be 'saw' in the past tense."
"She don't like to eat spicy food.","Subject-verb agreement error: 'don't' should be 'doesn't' to match the singular subject 'She'."
"He work hard to support his family.","Incorrect verb form: 'work' should be 'works' to match the singular subject 'He'."
"I could of helped if you had asked.","Incorrect use of 'of': should be 'have' as in 'could have'."
"They was waiting for the bus when it arrived.","Subject-verb agreement error: 'was' should be 'were' to match the plural subject 'They'."
"Their going to the concert tonight.","Incorrect use of 'their': should be 'They're' as a contraction of 'they are'."
"I seen him at the park last week.","Incorrect verb form: 'seen' should be 'saw' in the past tense."
"She don't like to swim in cold water.","Subject-verb agreement error: 'don't' should be 'doesn't' to match the singular subject 'She'."
"He work as a chef in a famous restaurant.","Incorrect verb form: 'work' should be 'works' to match the singular subject 'He'."
"I could of finished the report earlier.","Incorrect use of 'of': should be 'have' as in 'could have'."
"They was hoping for good weather on their trip.","Subject-verb agreement error: 'was' should be 'were' to match the plural subject 'They'."
"Their going to the party together.","Incorrect use of 'their': should be 'They're' as a contraction of 'they are'."
"I seen that movie twice.","Incorrect verb form: 'seen' should be 'saw' in the past tense."
"He don't know what to do next.","Subject-verb agreement error: 'don't' should be 'doesn't' to match the singular subject 'He'."
"She don't understand why he's upset.","Subject-verb agreement error: 'don't' should be 'doesn't' to match the singular subject 'She'."
"The book was write by Charles Dickens.","Incorrect verb form: 'was write' should be 'was written'."
"They was excited about the news.","Subject-verb agreement error: 'was' should be 'were' to match the plural subject 'They'."
"I could of sworn I heard something outside.","Incorrect use of 'of': should be 'have' as in 'could have'."
"She always wear sunglasses when it's sunny.","Subject-verb agreement error: 'wear' should be 'wears' to match the singular subject 'She'."
"He don't know how to fix computers.","Subject-verb agreement error: 'don't' should be 'doesn't' to match the singular subject 'He'."
"Their going to the beach this afternoon.","Incorrect use of 'their': should be 'They're' as a contraction of 'they are'."
"I seen him at the store last week.","Incorrect verb form: 'seen' should be 'saw' in the past tense."
"She don't like to eat spicy food.","Subject-verb agreement error: 'don't' should be 'doesn't' to match the singular subject 'She'."
"He work hard to support his family.","Incorrect verb form: 'work' should be 'works' to match the singular subject 'He'."
"I could of helped if you had asked.","Incorrect use of 'of': should be 'have' as in 'could have'."
"They was waiting for the bus when it arrived.","Subject-verb agreement error: 'was' should be 'were' to match the plural subject 'They'."
"Their going to the concert tonight.","Incorrect use of 'their': should be 'They're' as a contraction of 'they are'."
"I seen him at the park last week.","Incorrect verb form: 'seen' should be 'saw' in the past tense."
"She don't like to swim in cold water.","Subject-verb agreement error: 'don't' should be 'doesn't' to match the singular subject 'She'."
"He work as a chef in a famous restaurant.","Incorrect verb form: 'work' should be 'works' to match the singular subject 'He'."
"I could of finished the report earlier.","Incorrect use of 'of': should be 'have' as in 'could have'."
"They was hoping for good weather on their trip.","Subject-verb agreement error: 'was' should be 'were' to match the plural subject 'They'."
"Their going to the party together.","Incorrect use of 'their': should be 'They're' as a contraction of 'they are'."
"I seen that movie twice.","Incorrect verb form: 'seen' should be 'saw' in the past tense."
"He don't know what to do next.","Subject-verb agreement error: 'don't' should be 'doesn't' to match the singular subject 'He'."
"She don't understand why he's upset.","Subject-verb agreement error: 'don't' should be 'doesn't' to match the singular subject 'She'."
"The book was write by Charles Dickens.","Incorrect verb form: 'was write' should be 'was written'."
"They was excited about the news.","Subject-verb agreement error: 'was' should be 'were' to match the plural subject 'They'."
"I could of sworn I heard something outside.","Incorrect use of 'of': should be 'have' as in 'could have'."
"She always wear sunglasses when it's sunny.","Subject-verb agreement error: 'wear' should be 'wears' to match the singular subject 'She'."
"He don't know how to fix computers.","Subject-verb agreement error: 'don't' should be 'doesn't' to match the singular subject 'He'."
"Their going to the beach this afternoon.","Incorrect use of 'their': should be 'They're' as a contraction of 'they are'."
"I seen him at the store last week.","Incorrect verb form: 'seen' should be 'saw' in the past tense."
"He don't want to go to school today.","Subject-verb agreement error: 'don't' should be 'doesn't' to match the singular subject 'He'."
"They was playing in the park yesterday afternoon.","Subject-verb agreement error: 'was' should be 'were' to match the plural subject 'They'."
"I seen her at the store last week.","Incorrect verb form: 'seen' should be 'saw' in the past tense."
"She don't know the answer to that question.","Subject-verb agreement error: 'don't' should be 'doesn't' to match the singular subject 'She'."
"He work in a factory near his house.","Incorrect verb form: 'work' should be 'works' to match the singular subject 'He'."
"They was supposed to meet us here.","Subject-verb agreement error: 'was' should be 'were' to match the plural subject 'They'."
"I could of helped you if you had asked.","Incorrect use of 'of': should be 'have' as in 'could have'."
"She always wear a red dress on Fridays.","Subject-verb agreement error: 'wear' should be 'wears' to match the singular subject 'She'."
"He don't believe in ghosts.","Subject-verb agreement error: 'don't' should be 'doesn't' to match the singular subject 'He'."
"They was waiting for the bus when it started raining.","Subject-verb agreement error: 'was' should be 'were' to match the plural subject 'They'."
